data_extracao;descricao;estado;complemento;implantacao;logradouro_nome;num_inicial;num_final;defronte;cruzamento_nome;lado;fluxo;local_de_instal;latitude;longitude
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;10 METROS - VERMELHA E BORDO BRANCO TRACEJADO, ENTRE OS CANTEIROS;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;80;80.0;NÃO;R VITORIO FRANCISCO GIORDANI;PAR;DECRESCENTE;LEITO DA VIA     ;-30.010814802540764;-51.13534902222455
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;61 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;286;286.0;NÃO;R MARACAIBO;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;61 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;226;226.0;NÃO;R RUBENS ROSA GUEDES;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;61 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;233;265.0;NÃO;R OSCAR ALLEM;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;13 METROS - VERMELHA E BORDO BRANCO TRACEJADO, ENTRE OS CANTEIROS. ;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;209;209.0;NÃO;R RUBENS ROSA GUEDES;IMPAR;CRESCENTE;LEITO DA VIA     ;-30.01205971259805;-51.1355381179601
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;72 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;811;835.0;NÃO;AV SENADOR DANIEL KRIEGER;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;10 METROS - VERMELHA E BORDO BRANCO TRACEJADO, ENTRE OS CANTEIROS;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;85;85.0;NÃO;R VITORIO FRANCISCO GIORDANI;IMPAR;CRESCENTE;LEITO DA VIA     ;-30.01083686731398;-51.13539059646428
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;62 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;609;645.0;SIM;R SORBONE;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;62 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;609;645.0;NÃO;R JOSE HENRIQUE MARIANTE;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;220 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-28;R DONA ADDA MASCARENHAS DE MORAES;865;1051.0;NÃO;R JORNAL O POVO;IMPAR;CRESCENTE;LEITO DA VIA     ;;
